"","Movie_Title","Action","Animation","Mystery","Comedy","Drama","Family","Horror","Romance","Thriller","Adventure","SciFi"
"346","Chaahat Ek Nasha...",0,0,0,0,0,0,0,1,0,0,0
"347","Sins",0,0,0,0,1,0,0,1,0,0,0
"348","Bunty Aur Babli",0,0,0,1,0,0,0,0,0,1,0
"349","Banaras",0,0,0,0,1,0,0,0,0,0,0
"350","Dosti: Friends Forever",0,0,0,0,0,0,0,1,0,0,0
"351","Lucky: No Time for Love",0,0,0,0,1,0,0,1,0,0,0
"352","Shaadi No. 1",0,0,0,1,0,0,0,0,0,0,0
"353","Chehraa",0,0,0,0,0,0,0,0,1,0,0
"354","Hum Dum",0,0,0,1,0,0,0,1,0,0,0
"355","Jodhaa Akbar",1,0,0,0,0,0,0,0,0,1,0
"356","Kabhi Alvida Naa Kehna",0,0,0,0,1,0,0,0,0,0,0
"357","Apaharan",1,0,0,0,1,0,0,0,0,0,0
"358","Bachke Rehna Re Baba",0,0,0,1,0,0,0,0,0,0,0
"359","Kyon Ki...",0,0,0,0,1,0,0,1,0,0,0
"360","Maine Pyaar Kyun Kiya",0,0,0,1,1,0,0,1,0,0,0
"361","My Wife's Murder",0,0,0,0,0,0,0,0,1,0,0
"362","No Entry",0,0,0,1,1,0,0,0,0,0,0
"363","Paheli",0,0,0,0,0,0,0,1,0,0,0
"364","Socha Na Tha",0,0,0,1,0,0,0,1,0,0,0
"365","Zeher",0,0,0,0,0,0,0,0,1,0,0
"366","7 1/2 Phere: More Than a Wedding",0,0,0,1,1,0,0,0,0,0,0
"367","Garam Masala",0,0,0,1,0,0,0,0,0,0,0
"368","Iqbal",0,0,0,0,1,0,0,0,0,0,0
"369","Kuchh Meetha Ho Jaye",0,0,0,1,0,0,0,1,0,0,0
"370","Aryan: Unbreakable",0,0,0,0,1,0,0,0,0,0,0
"371","Chingaari",0,0,0,0,1,0,0,0,0,0,0
"372","Lage Raho Munna Bhai",0,0,0,1,1,0,0,1,0,0,0
"373","Salaam Namaste",0,0,0,1,1,0,0,1,0,0,0
"374","Fight Club: Members Only",1,0,0,1,0,0,0,0,0,0,0
"375","Jaan-E-Mann: Let's Fall in Love... Again",0,0,0,0,0,0,0,1,0,0,0
"376","Kyaa Kool Hai Hum",0,0,1,1,0,0,0,0,0,0,0
"377","Mr Ya Miss",0,0,0,1,0,0,0,0,0,0,0
"378","Nazar",0,0,0,0,0,0,0,0,1,0,0
"379","Ek Ajnabee",1,0,0,0,0,0,0,0,0,1,0
"380","Home Delivery: Aapko... Ghar Tak",0,0,0,1,0,0,0,1,0,0,0
"381","Mixed Doubles",0,0,0,1,1,0,0,0,0,0,0
"382","Mumbai Godfather",1,0,0,0,1,0,0,0,0,0,0
