"","Movie_Title","Action","Animation","Mystery","Comedy","Drama","Family","Horror","Romance","Thriller","Adventure","SciFi"
"306","The Tourist",1,0,0,0,0,0,0,1,1,0,0
"307","End of Days",1,0,1,0,0,0,1,0,0,0,0
"308","Blood Diamond",0,0,0,0,1,0,0,0,1,1,0
"309","The Wolf of Wall Street",0,0,0,1,1,0,0,0,0,0,0
"310","Batman Forever",1,0,0,0,0,0,0,0,0,1,0
"311","Starship Troopers",1,0,0,0,0,0,0,0,0,0,1
"312","Cloud Atlas",0,0,0,0,1,0,0,0,0,0,1
"313","Legend of the Guardians: The Owls of Ga'Hoole",1,1,0,0,0,1,0,0,0,1,0
"314","Catwoman",1,0,0,0,0,0,0,1,1,0,0
"315","Hercules",1,0,0,0,0,0,0,0,0,1,0
"316","Treasure Planet",0,1,0,0,0,1,0,0,0,1,1
"317","Land of the Lost",0,0,0,1,0,0,0,0,0,1,1
"318","The Expendables 3",1,0,0,0,0,0,0,0,1,1,0
"319","Point Break",1,0,0,0,0,0,0,0,1,0,0
"320","Son of the Mask",0,0,0,1,0,1,0,0,0,0,0
"321","In the Heart of the Sea",1,0,0,0,1,0,0,0,1,1,0
"322","The Adventures of Pluto Nash",1,0,0,1,0,0,0,0,0,0,1
"323","Green Zone",1,0,0,0,1,0,0,0,1,0,0
"324","The Peanuts Movie",0,1,0,1,0,1,0,0,0,1,0
"325","The Spanish Prisoner",0,0,1,0,1,0,0,0,1,0,0
"326","The Mummy Returns",1,0,0,0,0,0,0,0,1,1,0
"327","Gangs of New York",0,0,0,0,1,0,0,0,0,0,0
"328","The Flowers of War",0,0,0,0,1,0,0,1,0,0,0
"329","Surf's Up",0,1,0,1,0,1,0,0,0,0,0
"330","The Stepford Wives",0,0,0,1,0,0,0,0,1,0,1
"331","Black Hawk Down",0,0,0,0,1,0,0,0,0,0,0
"332","The Campaign",0,0,0,1,0,0,0,0,0,0,0
"333","The Fifth Element",1,0,0,0,0,0,0,0,0,1,1
"334","Sex and the City 2",0,0,0,1,1,0,0,1,0,0,0
"335","The Road to El Dorado",0,1,0,1,0,1,0,1,0,1,0
"336","Ice Age: Continental Drift",0,1,0,1,0,1,0,0,0,1,0
"337","Cinderella",0,0,0,0,1,1,0,1,0,0,0
"338","The Lovely Bones",0,0,0,0,1,0,0,0,1,0,0
"339","Finding Nemo",0,1,0,1,0,1,0,0,0,1,0
"340","The Lord of the Rings: The Return of the King",1,0,0,0,1,0,0,0,0,1,0
"341","The Lord of the Rings: The Two Towers",1,0,0,0,1,0,0,0,0,1,0
"342","Seventh Son",1,0,0,0,0,0,0,0,0,1,0
"343","Lara Croft: Tomb Raider",1,0,0,0,0,0,0,0,1,1,0
"344","Transcendence",0,0,1,0,1,0,0,1,1,0,1
"345","Jurassic Park III",1,0,0,0,0,0,0,0,1,1,1
"346","Rise of the Planet of the Apes",1,0,0,0,1,0,0,0,1,0,1
"347","The Spiderwick Chronicles",0,0,0,0,0,1,0,0,0,1,0
"348","A Good Day to Die Hard",1,0,0,0,0,0,0,0,1,0,0
"349","The Alamo",0,0,0,0,1,0,0,0,0,0,0
"350","The Incredibles",1,1,0,0,0,1,0,0,0,1,0
"351","Cutthroat Island",1,0,0,1,0,0,0,0,0,1,0
"352","Percy Jackson & the Olympians: The Lightning Thief",0,0,0,0,0,1,0,0,0,1,0
"353","Men in Black",0,0,1,1,0,1,0,0,0,1,1
"354","Toy Story 2",0,1,0,1,0,1,0,0,0,1,0
"355","Unstoppable",1,0,0,0,0,0,0,0,1,0,0
"356","Rush Hour 2",1,0,0,1,0,0,0,0,1,0,0
"357","What Lies Beneath",0,0,1,0,1,0,1,0,1,0,0
"358","Cloudy with a Chance of Meatballs",0,1,0,1,0,1,0,0,0,0,1
"359","Ice Age: Dawn of the Dinosaurs",1,1,0,1,0,1,0,0,0,1,0
